Year,Medal
2008,Bronze
2008,Bronze
2008,Bronze
2008,Bronze
2008,Bronze
2008,Bronze
2012,Gold
2012,Gold
2012,Gold
2012,Gold
2012,Gold
2012,Gold
2012,Gold
2012,Gold
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Bronze
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2012,Silver
2016,Bronze
2016,Bronze
2016,Bronze
2016,Bronze
2016,Bronze
2016,Bronze
2016,Bronze
2016,Bronze
2016,Bronze
2016,Bronze
2016,Gold
2016,Gold
2016,Gold
2016,Gold
2016,Gold
2016,Gold
2016,Gold
2016,Gold
2016,Silver
2016,Silver
2016,Silver
2016,Silver
2016,Silver
2016,Silver
2016,Silver
2016,Silver
2016,Silver
2016,Silver
2016,Silver
2020,Silver
2020,Silver
2020,Silver
2020,Silver
2020,Silver
2020,Silver
2020,Silver
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Gold
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
2020,Bronze
